Name,FF_max_velo,FC_max_velo,SI_max_velo,mlbID,CH_release_extension,CH_release_pos_x,CH_release_pos_z,CH_release_speed,CH_release_spin_rate,CH_release_extension_std,CH_release_pos_x_std,CH_release_pos_z_std,CH_pitch_type,CH_percentage,CU_release_extension,CU_release_pos_x,CU_release_pos_z,CU_release_speed,CU_release_spin_rate,CU_release_extension_std,CU_release_pos_x_std,CU_release_pos_z_std,CU_pitch_type,CU_percentage,FC_release_extension,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,FC_release_extension_std,FC_release_pos_x_std,FC_release_pos_z_std,FC_pitch_type,FC_percentage,FF_release_extension,FF_release_pos_x,FF_release_pos_z,FF_release_speed,FF_release_spin_rate,FF_release_extension_std,FF_release_pos_x_std,FF_release_pos_z_std,FF_pitch_type,FF_percentage,SI_release_extension,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,SI_release_extension_std,SI_release_pos_x_std,SI_release_pos_z_std,SI_pitch_type,SI_percentage,SL_release_extension,SL_release_pos_x,SL_release_pos_z,SL_release_speed,SL_release_spin_rate,SL_release_extension_std,SL_release_pos_x_std,SL_release_pos_z_std,SL_pitch_type,SL_percentage,ff max-avg,fc max-avg,si max-avg,TJS
Collin Snider,97.0,95.8,98.9,676092,6.025,-2.4375,4.874166667,89.525,2267.083333,0.113818037,0.111528635,0.179922121,12.0,1.174168297,,,,,,,,,,,6.14,-3.402,5.143125,91.14375,2577.3,0.215594556,0.168195185,0.09767673,80.0,7.82778865,6.057142857,-3.239387755,5.116938776,94.64897959,2509.306122,0.138443731,0.364722544,0.111321683,49.0,4.794520548,5.983140878,-2.659745958,4.987505774,95.8886836,2443.101852,0.180193623,0.479458298,0.13937282,433.0,42.36790607,6.172606383,-2.455292553,5.101941489,85.99867021,2702.970588,0.189369802,0.368401114,0.142146241,376.0,36.79060665,2.35102041,4.65625,3.0113164,0
Derek Law,98.5,96.4,98.9,571882,6.583615819,-1.058135593,6.240028249,85.79576271,1941.228814,0.261965613,0.33959887,0.11568615,354.0,6.776416539,6.164046392,-0.462007722,6.592561133,76.9958816,2079.135948,0.361906946,0.365949316,0.135053461,777.0,14.87366003,6.468995098,-1.263762255,6.407242647,91.57463235,2331.545679,0.165805622,0.256547511,0.09565721,816.0,15.6202144,6.487758723,-0.805415929,6.480572271,94.02519174,2129.431872,0.229839931,0.32011572,0.143983521,1695.0,32.44640123,6.546886447,-1.217582418,6.40010989,94.71794872,2109.066176,0.172778478,0.273368183,0.107136813,273.0,5.225880551,6.258269525,-0.826218487,6.44723453,85.25981665,2250.441176,0.300874446,0.318637415,0.11592069,1309.0,25.05742726,4.47480826,4.82536765,4.18205128,0
Robert Gsellman,97.8,88.3,98.8,607229,6.143133803,-1.539278169,6.013697183,86.01954225,1671.514134,0.260893938,0.154413061,0.195080754,568.0,9.439920226,5.416826923,-1.539455128,6.099230769,81.01330128,2666.607143,0.443851011,0.144855132,0.173299724,624.0,10.37061659,,,,,,,,,,,6.036797274,-1.473424191,6.274446337,93.58500852,2116.701365,0.237898862,0.163491227,0.187531545,587.0,9.755692205,5.984695539,-1.540110713,6.132885054,93.78847281,2135.95832,0.278596231,0.159979195,0.233347289,3071.0,51.03872362,5.907540703,-1.605184233,6.065287061,89.45192802,2297.134199,0.266051817,0.152313591,0.174264637,1167.0,19.39504737,4.21499148,,5.01152719,0
James Paxton,101.2,94.1,98.8,572020,6.213443396,2.031556604,6.471650943,87.09764151,1926.610048,0.280042941,0.434461087,0.321720568,424.0,3.881006865,,,,,,,,,,,6.170629371,2.588564168,6.058081321,88.84250318,2081.378837,0.230916799,0.240138701,0.232107465,1574.0,14.40732265,6.275506608,2.340117354,6.292195981,95.63670236,2220.650361,0.263614321,0.364989932,0.284279324,6817.0,62.39816934,6.166666667,2.196756757,6.533963964,92.23873874,2079.863636,0.20597146,0.42610746,0.10181337,111.0,1.016018307,,,,,,,,,,,5.56329764,5.25749682,6.56126126,1
Andrew Kittredge,97.2,,98.6,552640,6.242682927,-1.869756098,5.981341463,85.17317073,1182.168831,0.358333071,0.313892234,0.183173413,82.0,2.708952759,,,,,,,,,,,,,,,,,,,,,6.598039216,-1.740359477,5.920980392,94.01715686,2314.44281,0.225674646,0.31535427,0.165658986,612.0,20.21803766,6.604257642,-1.735960699,5.845786026,95.07576419,2343.54476,0.264416866,0.382257966,0.146396177,916.0,30.26098447,6.287297107,-1.963726182,5.762357092,87.05744531,2686.17623,0.331418953,0.440927154,0.168079731,1417.0,46.81202511,3.18284314,,3.52423581,1
Robbie Ray,98.7,,98.6,592662,6.132,2.526820702,6.180979667,86.65563771,1854.542471,0.328024389,0.310198657,0.232431514,541.0,2.598338216,5.908333333,2.435833333,6.1125,78.925,1975.083333,0.167648622,0.224720365,0.467937933,12.0,0.057634119,,,,,,,,,,,6.303254526,2.300806673,6.1570579,93.97431796,2282.07884,0.266880239,0.292454185,0.197330053,10190.0,48.94097306,6.282193495,2.503015283,6.02551012,93.60012392,2238.298783,0.303346419,0.276798095,0.169704769,2421.0,11.62768359,6.128797468,2.435745499,6.107369341,85.74450271,2147.219268,0.323642822,0.290751451,0.188980846,5721.0,27.47706642,4.72568204,,4.99987608,1
Lance McCullers,99.0,,98.6,621121,5.84604811,-1.802659817,5.422442922,88.38984018,1799.799312,0.255779224,0.189146965,0.178511855,876.0,11.61495625,,,,,,,,,,,,,,,,,,,,,6.16577119,-1.651850485,5.393756345,94.6893401,2335.737308,0.249299752,0.245836691,0.197394879,2167.0,28.73243172,5.989270009,-1.612568162,5.485347405,94.26437995,2275.657872,0.230715921,0.206049574,0.149365111,1137.0,15.07557677,,,,,,,,,,,4.3106599,,4.33562005,1
JT Brubaker,96.6,,98.5,664141,5.910394265,-2.537956989,6.041469534,87.29354839,1866.795699,0.190038397,0.122617371,0.101341674,279.0,5.440717629,5.693083573,-2.280144092,6.310994236,79.9610951,2816.108069,0.202889663,0.13407793,0.094009717,694.0,13.53354134,,,,,,,,,,,5.79726776,-2.381841746,6.243342428,92.93533424,2185.309686,0.180493834,0.132291767,0.108420799,733.0,14.29407176,5.787713311,-2.387281001,6.146478953,93.30125142,2280.012514,0.1885369,0.150052928,0.093595433,1758.0,34.28237129,5.78634997,-2.360414663,6.18703125,86.99134615,2647.795072,0.176610936,0.148104914,0.09425766,1664.0,32.44929797,3.66466576,,5.19874858,1
Keone Kela,99.7,,98.5,605309,6.472847682,-0.977792208,6.324285714,90.06298701,1683.106667,0.254279053,0.538783727,0.158414766,154.0,3.953786906,6.206680585,-1.007255172,6.443896552,83.38234483,2305.387695,0.258794972,0.626878117,0.121762093,1450.0,37.22721438,,,,,,,,,,,6.53001352,-0.863706013,6.616106904,96.33376392,2259.276846,0.267507868,0.617740249,0.126019151,2245.0,57.63799743,6.265116279,-0.536521739,6.487173913,96.02173913,2176.219512,0.285259882,0.366461866,0.176114395,46.0,1.181001284,,,,,,,,,,,3.36623608,,2.47826087,1
Chad Green,99.4,94.0,98.4,643338,6.303030303,-1.883529412,6.045882353,86.35294118,1678.65625,0.209888138,0.268631575,0.154765074,34.0,0.521712444,6.631192661,-1.78617737,6.141192661,84.55321101,2566.721713,0.164688168,0.278780879,0.087389454,327.0,5.017646156,6.389108911,-2.038217822,5.953960396,90.45544554,2288.811224,0.22411839,0.198781843,0.154447043,202.0,3.099585699,6.410959517,-1.933989267,6.09769678,95.87884615,2467.878442,0.251698029,0.341447192,0.154881992,4472.0,68.62053092,6.516243655,-1.92213198,6.012385787,94.86040609,2387.471795,0.296820054,0.343629373,0.138971783,197.0,3.022863281,6.076736494,-1.920550661,6.063887665,86.24185022,2209.321168,0.197833576,0.240525712,0.138864415,908.0,13.93279116,3.52115385,3.54455446,3.53959391,1
